name                                                                 old time/op    new time/op    delta
TelemeterRealData_Series/alerts2w/01EPXBGA0413QZMTF4XQ0M4Q3E            10.8s ± 0%     10.7s ± 0%  -0.62%
TelemeterRealData_Series/alerts15s/01EPXBGA0413QZMTF4XQ0M4Q3E           6.81s ± 0%     6.76s ± 0%  -0.74%
TelemeterRealData_Series/subssyncs2w/01EPXBGA0413QZMTF4XQ0M4Q3E         1.16s ± 0%     1.06s ± 0%  -8.90%
TelemeterRealData_Series/subs2w/01EPXBGA0413QZMTF4XQ0M4Q3E              6.43s ± 0%     5.87s ± 0%  -8.71%
TelemeterRealData_Series/subs2w1account/01EPXBGA0413QZMTF4XQ0M4Q3E      2.00s ± 0%     1.82s ± 0%  -8.88%
TelemeterRealData_Series/subs15m1account/01EPXBGA0413QZMTF4XQ0M4Q3E     2.02s ± 0%     1.87s ± 0%  -7.34%
TelemeterRealData_Series/subs15s/01EPXBGA0413QZMTF4XQ0M4Q3E             3.35s ± 0%     3.27s ± 0%  -2.44%

name                                                                 old alloc/op   new alloc/op   delta
TelemeterRealData_Series/alerts2w/01EPXBGA0413QZMTF4XQ0M4Q3E           4.18GB ± 0%    4.18GB ± 0%  +0.00%
TelemeterRealData_Series/alerts15s/01EPXBGA0413QZMTF4XQ0M4Q3E          1.84GB ± 0%    1.84GB ± 0%  +0.02%
TelemeterRealData_Series/subssyncs2w/01EPXBGA0413QZMTF4XQ0M4Q3E         444MB ± 0%     444MB ± 0%  +0.01%
TelemeterRealData_Series/subs2w/01EPXBGA0413QZMTF4XQ0M4Q3E             2.33GB ± 0%    2.33GB ± 0%  +0.00%
TelemeterRealData_Series/subs2w1account/01EPXBGA0413QZMTF4XQ0M4Q3E      662MB ± 0%     662MB ± 0%  +0.01%
TelemeterRealData_Series/subs15m1account/01EPXBGA0413QZMTF4XQ0M4Q3E     662MB ± 0%     662MB ± 0%  +0.00%
TelemeterRealData_Series/subs15s/01EPXBGA0413QZMTF4XQ0M4Q3E             858MB ± 0%     780MB ± 0%  -9.11%

name                                                                 old allocs/op  new allocs/op  delta
TelemeterRealData_Series/alerts2w/01EPXBGA0413QZMTF4XQ0M4Q3E            34.6M ± 0%     34.6M ± 0%  +0.02%
TelemeterRealData_Series/alerts15s/01EPXBGA0413QZMTF4XQ0M4Q3E           21.5M ± 0%     21.5M ± 0%  +0.05%
TelemeterRealData_Series/subssyncs2w/01EPXBGA0413QZMTF4XQ0M4Q3E         2.41M ± 0%     2.41M ± 0%  +0.00%
TelemeterRealData_Series/subs2w/01EPXBGA0413QZMTF4XQ0M4Q3E              13.8M ± 0%     13.8M ± 0%  +0.00%
TelemeterRealData_Series/subs2w1account/01EPXBGA0413QZMTF4XQ0M4Q3E      2.98M ± 0%     2.98M ± 0%  +0.00%
TelemeterRealData_Series/subs15m1account/01EPXBGA0413QZMTF4XQ0M4Q3E     2.98M ± 0%     2.98M ± 0%  +0.00%
TelemeterRealData_Series/subs15s/01EPXBGA0413QZMTF4XQ0M4Q3E             7.79M ± 0%     7.79M ± 0%  -0.00%
